PropertyID,PropType,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude,City,State,Country
176149.0,Residential,3.0,2890.0,Duplex-Cottage,1.5,1890.0,10.0,2457.0,2.0,3.0,2.0,0.0,3000.0,8/10/2019,155000.0,"2565 N FRATNEY ST,Milwaukee,wisconsin",43.0652889,-87.9018422,Milwaukee,Wisconsin,United States of America
176184.0,Residential,3.0,2890.0,Duplex O/S,2.0,1905.0,8.0,1870.0,2.0,5.0,2.0,0.0,3600.0,6/4/2019,185000.0,"2625 N FRATNEY ST,Milwaukee,wisconsin",43.066248,-87.9018679,Milwaukee,Wisconsin,United States of America
176760.0,Residential,3.0,2890.0,Cottage,1.0,1892.0,4.0,880.0,1.0,2.0,1.0,1.0,1485.0,5/8/2019,140000.0,"2518 N WEIL ST,Milwaukee,wisconsin",43.0643058,-87.8989706,Milwaukee,Wisconsin,United States of America
176836.0,Residential,3.0,2890.0,Duplex O/S,1.5,1890.0,9.0,1610.0,2.0,4.0,2.0,0.0,3600.0,7/30/2019,140440.0,"2454 N BREMEN ST,Milwaukee,wisconsin",43.0632183,-87.9001749,Milwaukee,Wisconsin,United States of America
176838.0,Residential,3.0,2890.0,Cottage,1.0,1900.0,5.0,1134.0,1.0,3.0,1.0,0.0,3600.0,5/30/2019,175000.0,"2462 N BREMEN ST,Milwaukee,wisconsin",43.0633976,-87.900174,Milwaukee,Wisconsin,United States of America
176870.0,Residential,3.0,2890.0,Residence O/S,1.0,1895.0,6.0,960.0,1.0,3.0,1.0,0.0,2568.0,4/30/2019,118000.0,"2666 N WEIL ST,Milwaukee,wisconsin",43.0671376,-87.8989737,Milwaukee,Wisconsin,United States of America
188775.0,Residential,3.0,3240.0,Duplex O/S,2.0,1911.0,11.0,2973.0,2.0,4.0,3.0,0.0,3000.0,6/25/2019,279000.0,"1012-1014 E LAND PL,Milwaukee,wisconsin",43.0551681,-87.8994434,Milwaukee,Wisconsin,United States of America
188818.0,Residential,3.0,3240.0,Duplex-Cottage,2.0,1895.0,11.0,1838.0,2.0,4.0,2.0,1.0,6000.0,1/14/2019,233000.0,"1821-1823 N HUMBOLDT AV,Milwaukee,wisconsin",43.0599244,-87.8979464,Milwaukee,Wisconsin,United States of America
188829.0,Residential,3.0,3240.0,Duplex O/S,1.5,1905.0,10.0,2125.0,2.0,6.0,2.0,0.0,2500.0,7/29/2019,217500.0,"1804 N ASTOR ST,Milwaukee,wisconsin",43.0546491,-87.899208,Milwaukee,Wisconsin,United States of America
188840.0,Residential,3.0,3240.0,Duplex O/S,2.0,1889.0,10.0,2933.0,2.0,4.0,2.0,0.0,2500.0,4/30/2019,223000.0,"1025 E HAMILTON ST,Milwaukee,wisconsin",43.0542383,-87.8986468,Milwaukee,Wisconsin,United States of America
188848.0,Residential,3.0,3240.0,Duplex O/S,1.5,1890.0,8.0,1398.0,2.0,4.0,2.0,0.0,2145.0,6/28/2019,245000.0,"1758 N ASTOR ST,Milwaukee,wisconsin",43.0540314,-87.8992912,Milwaukee,Wisconsin,United States of America
189128.0,Condominium,3.0,5946.0,Condo Townhouse,2.0,2000.0,5.0,1360.0,1.0,2.0,1.0,1.0,1.0,10/24/2019,285900.0,"1714 N MARSHALL ST,Milwaukee,wisconsin",43.0534148,-87.900613,Milwaukee,Wisconsin,United States of America
189641.0,Residential,3.0,3190.0,Duplex O/S,2.0,1890.0,12.0,2915.0,2.0,4.0,2.0,0.0,6000.0,8/14/2019,315000.0,"2058-2060 N CAMBRIDGE AV,Milwaukee,wisconsin",43.0612227,-87.8916983,Milwaukee,Wisconsin,United States of America
