Join_Count,TARGET_FID,PropertyID,PropType,taxkey,Address,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude,AREA
0,177,850036.000000000000000,Residential,3190530000.000000000000000,2514-2516 N CRAMER ST,3.000000000000000,3170.000000000000000,Duplex O/S,2.000000000000000,1888.000000000000000,9.000000000000000,,2.000000000000000,6.000000000000000,2.000000000000000,0.000000000000000,5715.000000000000000,3/13/2020,250000.000000000000000,"2514-2516 N CRAMER ST,Milwaukee,wisconsin",43.070990169404084,-87.886676904581037,
0,178,857631.000000000000000,Residential,3190544000.000000000000000,2509-2511 N CRAMER ST,3.000000000000000,3170.000000000000000,Duplex O/S,2.000000000000000,1929.000000000000000,12.000000000000000,,2.000000000000000,6.000000000000000,2.000000000000000,0.000000000000000,5715.000000000000000,9/25/2020,287500.000000000000000,"2509-2511 N CRAMER ST,Milwaukee,wisconsin",43.070990169404084,-87.886676904581037,
1,179,851998.000000000000000,Residential,3190555000.000000000000000,2540 N OAKLAND AV,3.000000000000000,3170.000000000000000,Duplex O/S,2.000000000000000,1920.000000000000000,10.000000000000000,,2.000000000000000,4.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,5/8/2020,257100.000000000000000,"2540 N OAKLAND AV,Milwaukee,wisconsin",43.064757499999999,-87.887797100000000,134.420959369999991
1,180,860870.000000000000000,Residential,3190608000.000000000000000,2463 N MARYLAND AV,3.000000000000000,3170.000000000000000,Residence O/S 2sty+,2.000000000000000,1894.000000000000000,8.000000000000000,,1.000000000000000,4.000000000000000,1.000000000000000,1.000000000000000,3480.000000000000000,11/13/2020,237500.000000000000000,"2463 N MARYLAND AV,Milwaukee,wisconsin",43.062917200000001,-87.883382550366036,135.349835264000006
1,181,855224.000000000000000,Residential,3190919000.000000000000000,2648 N FREDERICK AV,3.000000000000000,3170.000000000000000,Residence O/S 2sty+,2.000000000000000,1908.000000000000000,8.000000000000000,,1.000000000000000,4.000000000000000,1.000000000000000,1.000000000000000,4369.000000000000000,7/21/2020,350000.000000000000000,"2648 N FREDERICK AV,Milwaukee,wisconsin",43.067186200000002,-87.884001080067748,154.759347467999987
1,182,853664.000000000000000,Condominium,3191291000.000000000000000,2572 N FARWELL AV,3.000000000000000,5780.000000000000000,Condo Townhouse,2.000000000000000,1991.000000000000000,5.000000000000000,,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,6/15/2020,240000.000000000000000,"2572 N FARWELL AV,Milwaukee,wisconsin",43.065461784950806,-87.881684088461753,1164.775116009999920
0,183,861395.000000000000000,Condominium,3191345000.000000000000000,2577 N FARWELL AV,3.000000000000000,5510.000000000000000,Condo Townhouse,3.500000000000000,2001.000000000000000,5.000000000000000,,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,12/11/2020,394000.000000000000000,"2577 N FARWELL AV,Milwaukee,wisconsin",43.065602036338404,-87.881906931347899,
1,184,857743.000000000000000,Condominium,3191350000.000000000000000,2587 N FARWELL AV,3.000000000000000,5510.000000000000000,Condo Townhouse,3.500000000000000,2001.000000000000000,5.000000000000000,,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,9/28/2020,360000.000000000000000,"2587 N FARWELL AV,Milwaukee,wisconsin",43.065530199999998,-87.882188405128602,656.147389780000026
1,185,855206.000000000000000,Residential,3200107000.000000000000000,2439 N OAKLAND AV,3.000000000000000,3190.000000000000000,Duplex O/S,2.000000000000000,1890.000000000000000,10.000000000000000,,2.000000000000000,5.000000000000000,2.000000000000000,0.000000000000000,4320.000000000000000,7/31/2020,255000.000000000000000,"2439 N OAKLAND AV,Milwaukee,wisconsin",43.062317899999996,-87.888348364263464,114.296576478999995
1,186,848495.000000000000000,Residential,3200116000.000000000000000,2459 N BARTLETT AV,3.000000000000000,3190.000000000000000,Res O/S A & 1/2,1.000000000000000,1890.000000000000000,8.000000000000000,,1.000000000000000,5.000000000000000,2.000000000000000,0.000000000000000,5010.000000000000000,1/30/2020,262000.000000000000000,"2459 N BARTLETT AV,Milwaukee,wisconsin",43.062748749999997,-87.889521697510588,118.730720192999996
